Year,Sensex_Returns
1991,82.9
1992,36.5
1993,5.9
1994,13.0
1995,-20.0
1996,-1.2
1997,13.2
1998,-16.0
1999,63.0
2000,-21.0
2001,-18.0
2002,3.5
2003,73.0
2004,13.1
2005,42.3
2006,46.7
2007,47.1
2008,-52.5
2009,81.0
2010,17.4
2011,-24.6
2012,25.7
2013,8.9
2014,29.9
2015,-5.0
2016,1.9
2017,27.9
2018,5.9
2019,14.3
2020,15.7
2021,21.9
2022,4.4
2023,18.7
2023,12.734937611408213
2024,12.478787878787898
2025,12.222638146167583
2026,11.966488413547268
2027,11.710338680926952
2028,11.454188948306637
2029,11.198039215686322
2030,10.941889483066007
2031,10.685739750445691
2032,10.429590017825376
2033,10.17344028520506
2034,9.917290552584745
2035,9.66114081996443
2036,9.404991087344115
2037,9.1488413547238
2038,8.892691622103484
2039,8.636541889483055
2040,8.38039215686274
2041,8.124242424242425
2042,7.86809269162211
2043,7.611942959001794
2044,7.355793226381479
2045,7.099643493761164
2046,6.843493761140849
2047,6.587344028520533
2048,6.331194295900218
2049,6.075044563279903
2050,5.818894830659588
2051,5.562745098039272
2052,5.306595365418957
2053,5.050445632798642
2054,4.7942959001783265
2055,4.538146167558011
2056,4.281996434937696
2057,4.025846702317381
2058,3.769696969696952
2059,3.5135472370766365
2060,3.2573975044563213
2061,3.001247771836006
2062,2.7450980392156907
2063,2.4889483065953755
2064,2.23279857397506
2065,1.976648841354745
